,id,authors,title,abstract,doi,topic,topic_label
0,https://openalex.org/W2885623676,"['Katja Grace', 'John Salvatier', 'Allan Dafoe', 'Baobao Zhang', 'Owain Evans']",Viewpoint: When Will AI Exceed Human Performance? Evidence from AI Experts,"&#x0D; Advances in artificial intelligence (AI) will transform modern life by reshaping transportation, health, science, finance, and the military. To adapt public policy, we need to better anticipate these advances. Here report results from a large survey of machine learning researchers on their beliefs about progress AI. Researchers predict AI outperform humans many activities next ten years, such as translating languages (by 2024), writing high-school essays 2026), driving truck 2027), working retail 2031), bestselling book 2049), surgeon 2053). believe there is 50% chance outperforming all tasks 45 years automating human jobs 120 with Asian respondents expecting dates much sooner than North Americans. These inform discussion amongst policymakers anticipating managing trends AI.&#x0D; This article part special track Society.&#x0D;",https://doi.org/10.1613/jair.1.11222,0,AI in Industry
1,https://openalex.org/W4211089551,"['Marilyn Giroux', 'Jungkeun Kim', 'Jacob C. Lee', 'Jongwon Park']",Artificial Intelligence and Declined Guilt: Retailing Morality Comparison Between Human and AI,"Several technological developments, such as self-service technologies and artificial intelligence (AI), are disrupting the retailing industry by changing consumption purchase habits overall retail experience. Although AI represents extraordinary opportunities for businesses, companies must avoid dangers risks associated with adoption of systems. Integrating perspectives from emerging research on AI, morality machines, norm activation, we examine how individuals morally behave toward agents machines. Across three studies, demonstrate that consumers' moral concerns behaviors differ when interacting versus humans. We show intention (intention to report an error) is less likely emerge checkout self-checkout machines compared human checkout. In addition, decreases people consider machine humanlike. further document decline in caused guilt displayed new technologies. The non-human nature interaction evokes a decreased feeling ultimately reduces behavior. These findings offer insights into developments influence consumer provide guidance businesses retailers understanding intentions related different types interactions shopping environment.",https://doi.org/10.1007/s10551-022-05056-7,6,Consumer Behavior
2,https://openalex.org/W3203241482,"['Sofiat Abioye', 'Lukumon O. Oyedele', 'Lukman Akanbi', 'Anuoluwapo Ajayi', 'Juan Manuel Dávila Delgado', 'Muhammad Bilal', 'Olúgbénga O. Akinadé', 'Ashraf Ahmed']","Artificial intelligence in the construction industry: A review of present status, opportunities and future challenges","The growth of the construction industry is severely limited by myriad complex challenges it faces such as cost and time overruns, health safety, productivity labour shortages. Also, one least digitized industries in world, which has made difficult for to tackle problems currently faces. An advanced digital technology, Artificial Intelligence (AI), revolutionising manufacturing, retail, telecommunications. subfields AI machine learning, knowledge-based systems, computer vision, robotics optimisation have successfully been applied other achieve increased profitability, efficiency, safety security. While acknowledging benefits applications, numerous are relevant still exist industry. This study aims unravel examine techniques being used identify opportunites applications A critical review available literature on activity monitoring, risk management, resource waste was conducted. Furthermore, opportunities were identified presented this study. provides insights into key applies construction-specific challenges, well pathway realise acrueable",https://doi.org/10.1016/j.jobe.2021.103299,0,AI in Industry
3,https://openalex.org/W2901333361,"['R. Seranmadevi', 'Senthil Kumar Arumugam']",Experiencing the AI emergence in Indian retail – Early adopters approach,"The usage of Artificial Intelligence (AI) technique under retail industry will bring glorious outcome and flourishing benefits for both the retailers distinguished customers.The multiple platforms AI in arena are discussed two different cluster classified as online offline, based on terms execution activity.The present research was conducted with objectives evaluating contribution quality, customer relationship management big data designing futuristic model analyzing intention shoppers experiencing emergence AI.Disproportionate multistage judgement sampling method employed.A sample 610 from four capital regions southern part states India considered statistical analysis.Data collected during first quarter period 2018.Descriptive design used to describe towards Indian sector.The usages technologies offline grouped separately its effect building evolved.Finally, impact customers delight studied through Structural Equation Modeling testing appropriate hypothesis.",https://doi.org/10.5267/j.msl.2018.11.002,2,AI & Marketing
4,https://openalex.org/W4225890167,"['Shavneet Sharma', 'Nazrul Islam', 'Gurmeet Singh', 'Amandeep Dhir']",Why Do Retail Customers Adopt Artificial Intelligence (AI) Based Autonomous Decision-Making Systems?,"Advancements in Artificial Intelligence (AI) have led to the development of autonomous decision-making processes, allowing customers delegate decisions and tasks. Such technologies potential alter retailing landscape. Grounded unified theory acceptance use technology Hofstede's cultural theory, this article investigates customers' adoption AI-based processes by analyzing 454 customer responses using covariance-based structural equation modeling. The results reveal that effort expectancy, performance facilitating conditions, social influence are positively associated with processes. Collectivism strengthened positive association attitude, whereas uncertainty avoidance dampened associations attitude. findings provide useful implications for system developers managers while providing future researchers directions further explore",https://doi.org/10.1109/tem.2022.3157976,6,Consumer Behavior
5,https://openalex.org/W3080291601,"['Kim Oosthuizen', 'Elsamari Botha', 'Jeandri Robertson', 'Matteo Montecchi']",Artificial intelligence in retail: The AI-enabled value chain,"This article has been withdrawn at the request of Editor-in-Chief and publisher, as Australasian Marketing Journal (AMJ) migrated from Elsevier to SAGE Publishing per January 1, 2021. We apologize for any inconvenience this may cause. If you have questions, please directly contact AMJ Editor-in-Chief, Ass. Prof. Liem Ngo liem.ngo@unsw.edu.au. The full Policy on Article Withdrawal can be found https://www.elsevier.com/about/our-business/policies/article-withdrawal .",https://doi.org/10.1016/j.ausmj.2020.07.007,1,AR/VR in Retail
6,https://openalex.org/W4387379065,"['Keng‐Boon Ooi', 'Garry Wei‐Han Tan', 'Mostafa Al‐Emran', 'Mohammed A. Al‐Sharafi', 'Alexandru Căpăţînă', 'Amrita Chakraborty', 'Yogesh K. Dwivedi', 'Tzu-Ling Huang', 'Arpan Kumar Kar', 'Voon‐Hsien Lee', 'Xiu-Ming Loh', 'Adrian Micu', 'Patrick Mikalef', 'Emmanuel Mogaji', 'Neeraj Pandey', 'Ramakrishnan Raman', 'Nripendra P. Rana', 'Prianka Sarker', 'Anshuman Sharma', 'Ching‐I Teng', 'Samuel Fosso Wamba', 'Lai‐Wan Wong']",The Potential of Generative Artificial Intelligence Across Disciplines: Perspectives and Future Directions,"ABSTRACTIn a short span of time since its introduction, generative artificial intelligence (AI) has garnered much interest at both personal and organizational levels. This is because potential to cause drastic widespread shifts in many aspects life that are comparable those the Internet smartphones. More specifically, AI utilizes machine learning, neural networks, other techniques generate new content (e.g. text, images, music) by analyzing patterns information from training data. enabled have wide range applications, creating personalized improving business operations. Despite benefits, there also significant concerns about negative implications AI. In view this, current article brings together experts variety fields expound provide multi-disciplinary insights on opportunities, challenges, research agendas specific industries (i.e. marketing, healthcare, human resource, education, banking, retailing, workplace, manufacturing, sustainable IT management).KEYWORDS: Generative intelligencemachine learninglarge language modelChatGPTBard Disclosure statementNo conflict was reported author(s).",https://doi.org/10.1080/08874417.2023.2261010,22,Generative AI
7,https://openalex.org/W3094574527,['Praveen Kumar Donepudi'],AI and Machine Learning in Retail Pharmacy: Systematic Review of Related Literature,Artificial intelligence and machine learning are the future of every field. These can be applied in any field for better or efficient performance. Both these used retail pharmacy as a solution to different problems. The prediction model help predicting disease patients it also predict medicine patient. AI systems automate tasks that will saving time performed by using fewer resources.,https://doi.org/10.18034/abcjar.v7i2.514,0,AI in Industry
8,https://openalex.org/W2617160040,"['Katja Grace', 'John Salvatier', 'Allan Dafoe', 'Baobao Zhang', 'Owain Evans']",When Will AI Exceed Human Performance? Evidence from AI Experts,"Advances in artificial intelligence (AI) will transform modern life by reshaping transportation, health, science, finance, and the military. To adapt public policy, we need to better anticipate these advances. Here report results from a large survey of machine learning researchers on their beliefs about progress AI. Researchers predict AI outperform humans many activities next ten years, such as translating languages (by 2024), writing high-school essays 2026), driving truck 2027), working retail 2031), bestselling book 2049), surgeon 2053). believe there is 50% chance outperforming all tasks 45 years automating human jobs 120 with Asian respondents expecting dates much sooner than North Americans. These inform discussion amongst policymakers anticipating managing trends",,0,AI in Industry
9,https://openalex.org/W4206321618,"['Radhika Pillarisetty', 'Pratika Mishra']",A Review of AI (Artificial Intelligence) Tools and Customer Experience in Online Fashion Retail,"Artificial Intelligence tools and processes have hugely impacted the ecommerce industry satisfaction of online customers. With technology largely pervading all facets our lives, people want meaningful experiences. intelligence has ability to deliver positive experiences for customers that helps build brand trust customer satisfaction. Whether you are using your smartphone, laptop or voice assistants such as Alexa Siri, service on internet is gaining new ground. This paper does a literature review various technological advances optimize experience evoke e-satisfaction, i.e. while shopping online. E-satisfaction construct will be reviewed its impact purchase intention. provide businesses other researchers frame reference conduct empirical studies in area AI enabled retail.",https://doi.org/10.4018/ijebr.294111,6,Consumer Behavior
